SiteID,country,city,location,latitude,longitude,population,institution,website
site107,Netherland,Amsterdam,RWZI Amsterdam-WEST,52.375,4.8666668,769000,KWR,https://www.kwrwater.nl/en/
site108,Netherland,Eindhoven,RWZI Eindhoven,51.4421082,5.4800701,450300,KWR,https://www.kwrwater.nl/en/
site109,Netherland,Nieuwegein Ijssel.,RWZI Nieuwegein,52.024821,5.091819,96000,KWR,https://www.kwrwater.nl/en/
site110,Netherland,Oudewater,RWZI Oudewater,52.024163,4.868417,10110,KWR,https://www.kwrwater.nl/en/
site111,Netherland,Utrecht,RWZI Utrecht,52.0858002,5.1308398,300000,KWR,https://www.kwrwater.nl/en/
site112,Norway,Oslo,VEAS,59.9156914,10.857625,624642,Norwegian Institute for Water Research (NIVA),https://www.niva.no/drugmon
site113,Poland,Krakow P,Krakow Plaszow,50.06,19.94,680000,AGH University of Science and Technology,http://www.agh.edu.pl/en/
site114,Portugal,Almada,Mutela,38.675187,-9.154345,138685,"Faculty of Pharmacy - University of Lisbon, and National Institute of Legal Medicine and Forensic Sciences",http://www.ff.ul.pt/servicos-exterior/contactos/
site115,Portugal,Lisbon,Alcântara,38.7044907,-9.1754999,426964,"Faculty of Pharmacy - University of Lisbon, and National Institute of Legal Medicine and Forensic Sciences",http://www.ff.ul.pt/servicos-exterior/contactos/
site116,Portugal,Porto,,41.157944,-8.629105,150000,CIIMAR - University of Porto,www2.ciimar.up.pt
site117,Romania,Cluj Napoca,,46.7780991,23.6136,350000,"Toxicological Center, University of Antwerp",https//www.uantwerpen.be/en/rg/tox/
site118,Serbia,Belgrade,Sewer system Usce (outlet in Danube river),44.8130989,20.463261,284347,,
site119,Serbia,Novi Sad,,45.3039017,19.8267,310312,"University of Novi Sad, Faculty of Technical Sciences, Department of Environmental Engineering and Occupational Safety",https://www.uns.ac.rs
site120,Sweden,Gothenburg,Ryaverket,57.6828995,12.0729,664441,"Department of Chemistry, Umea University",http://www.chemistry.umu.se/english/
site121,Sweden,Gävle,Duvbacken,60.674622,17.14183,85000,RISE Research Institutes of Sweden,https://www.ri.se/en
site122,Sweden,Sandviken,Hedåsen ARV,60.61667,16.76667,28000,,
